step,dispersal,impurity,target
0,0.000100,0.999860,-0.000200
1,0.000653,0.999523,-0.001305
2,0.002153,0.998522,-0.004297
3,0.006148,0.995910,-0.012221
4,0.025305,0.987917,-0.049346
5,0.094851,0.970981,-0.172819
6,0.156424,0.948021,-0.268540
7,0.222098,0.906628,-0.356792
8,0.275143,0.848175,-0.415500
9,0.321062,0.773152,-0.453713
10,0.345359,0.753248,-0.473583
11,0.415482,0.734020,-0.530616
12,0.494797,0.717088,-0.585556
13,0.553005,0.690155,-0.614015
14,0.605250,0.635929,-0.620211
15,0.625210,0.619071,-0.622125
