step,dispersal,impurity,target
0,0.293921,0.975208,1.024792
1,0.591238,0.967654,1.019300
2,0.309392,0.961404,0.483163
3,0.373943,0.947425,0.223180
4,0.409381,0.924538,0.118926
5,0.437785,0.913923,0.080865
6,0.463937,0.897703,0.077485
7,0.464850,0.890984,0.009451
8,0.491776,0.869733,0.081776
9,0.491922,0.868621,0.001576
10,0.492000,0.868061,0.000804
