step,dispersal,impurity,target
0,0.362135,0.957423,1.042577
1,0.181836,0.957327,0.497977
2,0.421165,0.953522,1.320153
3,0.540715,0.939736,0.298315
4,0.629718,0.932986,0.171784
5,0.545508,0.900593,0.168447
6,0.570206,0.888376,0.058842
7,0.584174,0.882389,0.031235
8,0.593730,0.870397,0.029948
9,0.608584,0.857412,0.039936
10,0.621842,0.854013,0.025749
11,0.622089,0.852285,0.002421
12,0.622102,0.852209,0.000110
13,0.658785,0.833645,0.080750
14,0.663219,0.823415,0.019002
15,0.663383,0.822085,0.001862
