step,dispersal,impurity,target
0,0.000155,0.999941,-0.000310
1,0.000846,0.999770,-0.001691
2,0.003602,0.998144,-0.007179
3,0.008072,0.997118,-0.016015
4,0.040328,0.989721,-0.077498
5,0.111707,0.981619,-0.200587
6,0.175908,0.971078,-0.297859
7,0.242968,0.941727,-0.386275
8,0.293891,0.921773,-0.445683
9,0.346751,0.906227,-0.501581
10,0.377754,0.888446,-0.530113
11,0.454203,0.878790,-0.598876
12,0.533111,0.868570,-0.660698
13,0.594433,0.858771,-0.702560
14,0.628387,0.850942,-0.722924
15,0.663383,0.822085,-0.734257
