step,dispersal,impurity,target
0,0.467509,0.990116,0.467509
1,0.234450,0.989475,0.233059
2,0.340273,0.977825,0.105823
3,0.400050,0.954112,0.059777
4,0.435923,0.924318,0.035873
5,0.454323,0.907906,0.018399
6,0.493377,0.897078,0.039055
7,0.497666,0.886607,0.004289
8,0.498482,0.881044,0.000817
9,0.499189,0.875381,0.000706
10,0.499189,0.874274,0.000000
