step,dispersal,impurity,target
0,0.001391,0.999446,-0.001391
1,0.001634,0.997626,-0.001634
2,0.015939,0.993444,-0.015939
3,0.034995,0.986600,-0.034995
4,0.067859,0.980775,-0.067859
5,0.131508,0.972116,-0.131508
6,0.216502,0.959394,-0.216502
7,0.301182,0.939616,-0.301182
8,0.387975,0.915884,-0.387975
9,0.461683,0.896706,-0.461683
10,0.499189,0.874274,-0.499189
