step,dispersal,impurity,target
0,0.001391,0.999446,-0.002779
1,0.001634,0.997626,-0.003262
2,0.015939,0.993444,-0.031374
3,0.034995,0.986600,-0.067593
4,0.067859,0.980775,-0.126935
5,0.131508,0.972116,-0.231674
6,0.216502,0.959394,-0.353281
7,0.301182,0.939616,-0.456151
8,0.387975,0.915884,-0.545059
9,0.461821,0.887918,-0.607612
10,0.499189,0.874274,-0.635514
