step,dispersal,impurity,target
0,0.304725,0.977232,1.022768
1,0.444076,0.959753,0.475189
2,0.222734,0.959087,0.499127
3,0.317974,0.943732,0.443608
4,0.321108,0.938131,0.015790
5,0.333551,0.932531,0.044721
6,0.333726,0.931021,0.002143
7,0.446985,0.916099,0.355406
8,0.471608,0.899541,0.073161
9,0.472326,0.894571,0.007048
10,0.499189,0.874274,0.079561
