step,dispersal,impurity,target
0,0.001281,0.999807,-0.002558
1,0.001623,0.998926,-0.003241
2,0.003626,0.998344,-0.007225
3,0.025922,0.986673,-0.050517
4,0.098320,0.966526,-0.178484
5,0.162615,0.937702,-0.277165
6,0.242339,0.875740,-0.379626
7,0.296138,0.851898,-0.439498
8,0.352904,0.802756,-0.490275
9,0.389381,0.794816,-0.522694
10,0.475567,0.788659,-0.593343
11,0.551271,0.783996,-0.647352
12,0.614491,0.779362,-0.687176
13,0.665749,0.754719,-0.707448
14,0.684059,0.748371,-0.714771
