step,dispersal,impurity,target
0,0.000493,0.999845,-0.000985
1,0.001542,0.999424,-0.003080
2,0.002303,0.999300,-0.004596
3,0.006319,0.998248,-0.012559
4,0.017103,0.997137,-0.033629
5,0.095268,0.987370,-0.173769
6,0.170122,0.973391,-0.289625
7,0.245585,0.912826,-0.387042
8,0.296538,0.874097,-0.442842
9,0.354051,0.848760,-0.499670
10,0.394296,0.836906,-0.536043
11,0.453091,0.822429,-0.584288
12,0.541665,0.803608,-0.647135
13,0.607404,0.781639,-0.683594
14,0.640489,0.776053,-0.701785
15,0.677218,0.744810,-0.709408
