log,method,#contexts,#CT,#AT,#TT,impurity,dispersal,score,CPU time
wabo,SA-based,594,6,14,65,0.577759,0.511204,0.453087,0:02:32
wabo,SA-based,552,3,20,65,0.571985,0.549103,0.439158,0:03:03
wabo,SA-based,320,10,5,65,0.600944,0.414287,0.474695,0:00:00
wabo,SA-based,648,3,24,65,0.566330,0.567056,0.433307,0:01:15
wabo,SA-based,334,10,6,65,0.600405,0.414351,0.475055,0:00:04
wabo,SA-based,378,10,12,65,0.595496,0.417481,0.477459,0:00:00
wabo,SA-based,332,10,7,65,0.599532,0.414310,0.475685,0:00:25
wabo,SA-based,345,10,7,65,0.600236,0.414373,0.475167,0:01:02
wabo,SA-based,742,5,24,65,0.555253,0.575570,0.434351,0:12:03
wabo,SA-based,368,10,9,65,0.599532,0.414397,0.475656,0:01:35
wabo,tree-based,592,10,17,64,0.573470,0.503239,0.458974,0:00:22
wabo,tree-based,494,10,7,65,0.562076,0.553778,0.442034,0:00:00
wabo,tree-based,529,10,10,64,0.562076,0.553857,0.441995,0:00:46
wabo,tree-based,593,10,18,65,0.573470,0.503240,0.458974,0:00:00
wabo,tree-based,578,10,12,64,0.569466,0.549160,0.440453,0:00:40
wabo,tree-based,529,10,10,64,0.562076,0.553857,0.441995,0:01:51
wabo,tree-based,610,10,18,65,0.573470,0.503276,0.458959,0:00:00
wabo,tree-based,560,10,10,65,0.569466,0.549149,0.440458,0:00:01
wabo,tree-based,512,10,9,64,0.562076,0.553819,0.442014,0:01:58
wabo,tree-based,592,10,16,65,0.573470,0.503261,0.458965,0:00:48
