step,dispersal,impurity,target
0,0.001117,0.999763,-0.002232
1,0.006951,0.999040,-0.013806
2,0.010062,0.991871,-0.019922
3,0.064537,0.984055,-0.121131
4,0.133097,0.965301,-0.233938
5,0.189783,0.926081,-0.315010
6,0.227953,0.903975,-0.364094
7,0.271748,0.853705,-0.412265
8,0.318809,0.827837,-0.460337
9,0.351452,0.808988,-0.490022
10,0.422728,0.793516,-0.551602
11,0.501964,0.787690,-0.613175
12,0.580476,0.747809,-0.653602
13,0.617912,0.734111,-0.671018
14,0.636999,0.722079,-0.676876
